index,latency,jitter,recv-time,recv-size
1,0.000449,0.000449,1644260828290856716,1468
2,0.002708,0.0022589999999999997,1644260828291257238,1468
3,0.002665,4.300000000000007e-05,1644260828291605376,1468
4,0.002789,0.00012399999999999998,1644260828291956441,1468
5,0.002772,1.6999999999999654e-05,1644260828293006108,1468
6,0.003362,0.0005899999999999998,1644260828293357460,1468
7,0.003295,6.699999999999979e-05,1644260828293501756,1468
8,0.003379,8.399999999999987e-05,1644260828293653678,1468
9,0.003609,0.00022999999999999974,1644260828294272116,1468
10,0.003645,3.600000000000001e-05,1644260828294495540,1468
11,0.003656,1.1000000000000159e-05,1644260828294757051,1468
12,0.003626,3.000000000000008e-05,1644260828294989183,1468
13,0.0036,2.599999999999998e-05,1644260828295287965,1468
14,0.003581,1.899999999999992e-05,1644260828295514830,1468
15,0.003565,1.5999999999999955e-05,1644260828295789829,1468
16,0.003524,4.100000000000024e-05,1644260828295954084,1468
17,0.003497,2.699999999999968e-05,1644260828296214536,1468
18,0.003513,1.5999999999999955e-05,1644260828296540810,1468
19,0.003479,3.4000000000000176e-05,1644260828296829681,1468
20,0.003489,1.0000000000000026e-05,1644260828297139350,1468
21,0.003443,4.6000000000000034e-05,1644260828297306890,1468
22,0.003452,9.000000000000327e-06,1644260828297602777,1468
23,0.00345,2.0000000000002655e-06,1644260828297925987,1468
24,0.003443,7.000000000000062e-06,1644260828298090412,1468
25,0.003466,2.3000000000000017e-05,1644260828298553974,1468
26,0.003449,1.7000000000000088e-05,1644260828298810882,1468
27,0.003463,1.4000000000000123e-05,1644260828299055810,1468
28,0.003394,6.900000000000005e-05,1644260828299213358,1468
29,0.003339,5.499999999999993e-05,1644260828299479416,1468
30,0.003331,7.99999999999976e-06,1644260828299702829,1468
31,0.003285,4.6000000000000034e-05,1644260828299886822,1468
32,0.003264,2.1000000000000185e-05,1644260828300350286,1468
33,0.003193,7.099999999999988e-05,1644260828300516992,1468
34,0.003146,4.700000000000017e-05,1644260828300635374,1468
35,0.00315,4.000000000000097e-06,1644260828300971828,1468
36,0.003059,9.099999999999994e-05,1644260828301171846,1468
37,0.003047,1.2000000000000292e-05,1644260828301459482,1468
38,0.003026,2.099999999999975e-05,1644260828301612757,1468
39,0.003015,1.1000000000000159e-05,1644260828301798664,1468
40,0.002994,2.099999999999975e-05,1644260828302073777,1468
41,0.00295,4.40000000000002e-05,1644260828302203987,1468
42,0.002932,1.7999999999999787e-05,1644260828302421041,1468
43,0.002898,3.4000000000000176e-05,1644260828302812168,1468
44,0.002921,2.3000000000000017e-05,1644260828302993224,1468
45,0.002864,5.700000000000019e-05,1644260828303189931,1468
46,0.002783,8.099999999999991e-05,1644260828303337901,1468
47,0.002667,0.00011599999999999978,1644260828303427144,1468
48,0.002662,5.00000000000023e-06,1644260828303782761,1468
49,0.002641,2.099999999999975e-05,1644260828303923509,1468
50,0.002578,6.300000000000012e-05,1644260828304200650,1468
51,0.002526,5.199999999999996e-05,1644260828304306282,1468
52,0.002478,4.7999999999999866e-05,1644260828304552797,1468
53,0.002422,5.600000000000006e-05,1644260828304740486,1468
54,0.002341,8.099999999999991e-05,1644260828304863983,1468
55,0.00227,7.100000000000032e-05,1644260828305075731,1468
56,0.002199,7.099999999999988e-05,1644260828305214418,1468
57,0.002137,6.199999999999999e-05,1644260828305412075,1468
58,0.002076,6.0999999999999856e-05,1644260828305585242,1468
59,0.002011,6.499999999999995e-05,1644260828305752060,1468
60,0.001956,5.500000000000036e-05,1644260828305940203,1468
61,0.001887,6.899999999999983e-05,1644260828306063656,1468
62,0.00182,6.7e-05,1644260828306259446,1468
63,0.001737,8.299999999999996e-05,1644260828306393684,1468
64,0.001685,5.199999999999996e-05,1644260828306591069,1468
65,0.001607,7.800000000000016e-05,1644260828306711216,1468
66,0.001552,5.499999999999993e-05,1644260828306878574,1468
67,0.001499,5.3000000000000096e-05,1644260828307094945,1468
68,0.001402,9.699999999999986e-05,1644260828307192234,1468
69,0.001334,6.800000000000013e-05,1644260828307416680,1468
70,0.001269,6.499999999999995e-05,1644260828307536664,1468
71,0.001196,7.299999999999993e-05,1644260828307719074,1468
72,0.001121,7.499999999999998e-05,1644260828307851428,1468
73,0.001061,5.999999999999994e-05,1644260828308052887,1468
74,0.001002,5.9000000000000025e-05,1644260828308278549,1468
75,0.000924,7.800000000000005e-05,1644260828308431789,1468
76,0.000898,2.599999999999998e-05,1644260828308615663,1468
77,0.000859,3.900000000000008e-05,1644260828308920521,1468
78,0.000753,0.00010599999999999997,1644260828309025307,1468
79,0.000717,3.600000000000001e-05,1644260828309162981,1468
80,0.000671,4.5999999999999925e-05,1644260828309377285,1468
81,0.000624,4.700000000000006e-05,1644260828309571487,1468
82,0.000582,4.199999999999994e-05,1644260828309793779,1468
83,0.000537,4.500000000000001e-05,1644260828310097145,1468
84,0.000543,5.999999999999929e-06,1644260828310285790,1468
85,0.000507,3.600000000000001e-05,1644260828310538587,1468
86,0.000458,4.8999999999999944e-05,1644260828310776910,1468
87,0.000437,2.1000000000000023e-05,1644260828310951672,1468
88,0.000372,6.500000000000001e-05,1644260828311144827,1468
89,0.000311,6.0999999999999965e-05,1644260828311316153,1468
